asin,name,price,rating,reviews,url,page,keyword,scraped_at
B0DMM1H92H,"GOBOULT Y1 Pro Ear Buds Wireless 60H Playtime, 4 Mics Calling, 45ms Low Latency Gaming, Made in India,13mm Bass Driver Earbuds Buds TWS Bluetooth Wireless Earphone",₹999.00,3.9,(2.1K),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMjAxMDkxMTU0Njc0NjU6MTc4MDY3NjU2MzpzcF9hdGY6MzAwODYwOTg4NzQ2MDMyOjowOjo&url=%2FGOBOULT-Wireless-Playtime-Bluetooth-Earphone%2Fdp%2FB0DMM1H92H%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.c7n4eVoGPRlBeybR-_yqIVf2bJGDqBoN0H1HeEmhZLUkaztAXWjjP_9STZMwB1D6_lAnF_rQUVYQsgbdAhI54APspkRtNusAwh448qUw0S36KzEYuaHFQkAh6aW2ROvUoy9nG3p5uro37e3zPwBVfGOblTl_HdUZIS46iRgrFT3ktGJ20zpOz37rcT17TGkNkhHe2yc_FrjL8Isxuh7wSyTyuUL7_qMagB3JiPGDYJg.UbltKH7bdYudZCd1n88dcGDKHT9LXX-RlmPSyxY_DNo%26dib_tag%3Dse%26keywords%3Dwireless%2Bearphones%26qid%3D1780676563%26sr%3D8-1-spons%26aref%3DD10Oh46QPf%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=D10Oh46QPf&sp_cr=ZAZ,1,wireless earphones,2026-06-05 21:52:46
B0DN1RPL19,"GOBOULT Mustang Torq Wireless in Ear Earbuds with 60H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, 13mm Driver, Breathing LEDs, Made in India Ear Buds Wireless (Silver)",₹1799.00,4.0,(13.6K),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMjAxMDkxMTU0Njc0NjU6MTc4MDY3NjU2MzpzcF9hdGY6MzAwNDgzMzI3MDY4MDMyOjowOjo&url=%2FLaunched-Earbuds-Playtime-Breathing-Wireless%2Fdp%2FB0DN1RPL19%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.c7n4eVoGPRlBeybR-_yqIVf2bJGDqBoN0H1HeEmhZLUkaztAXWjjP_9STZMwB1D6_lAnF_rQUVYQsgbdAhI54APspkRtNusAwh448qUw0S36KzEYuaHFQkAh6aW2ROvUoy9nG3p5uro37e3zPwBVfGOblTl_HdUZIS46iRgrFT3ktGJ20zpOz37rcT17TGkNkhHe2yc_FrjL8Isxuh7wSyTyuUL7_qMagB3JiPGDYJg.UbltKH7bdYudZCd1n88dcGDKHT9LXX-RlmPSyxY_DNo%26dib_tag%3Dse%26keywords%3Dwireless%2Bearphones%26qid%3D1780676563%26sr%3D8-2-spons%26aref%3DI0c7MHAFWO%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=I0c7MHAFWO&sp_cr=ZAZ,1,wireless earphones,2026-06-05 21:52:46
B0FMDL81GS,"OnePlus Nord Buds 3r TWS Earbuds up to 54 Hours Playback, 2-mic Clear Calls, 3D Spatial Audio, AI Translation, 12.4mm Drivers, Dual-Device Connectivity, 47ms Low Latency - Ash Black",₹1799.00,4.3,(45.4K),https://www.amazon.in/OnePlus-Playback-Translation-Dual-Device-Connectivity/dp/B0FMDL81GS/ref=sr_1_3?dib=eyJ2IjoiMSJ9.c7n4eVoGPRlBeybR-_yqIVf2bJGDqBoN0H1HeEmhZLUkaztAXWjjP_9STZMwB1D6_lAnF_rQUVYQsgbdAhI54APspkRtNusAwh448qUw0S36KzEYuaHFQkAh6aW2ROvUoy9nG3p5uro37e3zPwBVfGOblTl_HdUZIS46iRgrFT3ktGJ20zpOz37rcT17TGkNkhHe2yc_FrjL8Isxuh7wSyTyuUL7_qMagB3JiPGDYJg.UbltKH7bdYudZCd1n88dcGDKHT9LXX-RlmPSyxY_DNo&dib_tag=se&keywords=wireless+earphones&qid=1780676563&sr=8-3,1,wireless earphones,2026-06-05 21:52:46
B0C3ZYFZ77,"Boat Airdopes Joy, 35Hrs Battery, Fast Charge, IWP Tech, Low Latency, 2Mic ENx, Type-C Port, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic(Jet Black)",₹799.00,3.8,(9.7K),https://www.amazon.in/boAt-Airdopes-Alpha-Wireless-Earbuds/dp/B0C3ZYFZ77/ref=sr_1_4?dib=eyJ2IjoiMSJ9.c7n4eVoGPRlBeybR-_yqIVf2bJGDqBoN0H1HeEmhZLUkaztAXWjjP_9STZMwB1D6_lAnF_rQUVYQsgbdAhI54APspkRtNusAwh448qUw0S36KzEYuaHFQkAh6aW2ROvUoy9nG3p5uro37e3zPwBVfGOblTl_HdUZIS46iRgrFT3ktGJ20zpOz37rcT17TGkNkhHe2yc_FrjL8Isxuh7wSyTyuUL7_qMagB3JiPGDYJg.UbltKH7bdYudZCd1n88dcGDKHT9LXX-RlmPSyxY_DNo&dib_tag=se&keywords=wireless+earphones&qid=1780676563&sr=8-4,1,wireless earphones,2026-06-05 21:52:46
B0GXNT6HDR,VARNIADR Wireless Earbuds Bluetooth 5.3 TWS Earphones Full Touch Control Headphones Built-in Microphone Premium Sound Quality Ensure Fast Stable & Connection with Type C Charger,₹349.00,4.0,(24),https://www.amazon.in/Bluetooth-Earphones-Headphones-Microphone-Connection/dp/B0GXNT6HDR/ref=sr_1_5?dib=eyJ2IjoiMSJ9.c7n4eVoGPRlBeybR-_yqIVf2bJGDqBoN0H1HeEmhZLUkaztAXWjjP_9STZMwB1D6_lAnF_rQUVYQsgbdAhI54APspkRtNusAwh448qUw0S36KzEYuaHFQkAh6aW2ROvUoy9nG3p5uro37e3zPwBVfGOblTl_HdUZIS46iRgrFT3ktGJ20zpOz37rcT17TGkNkhHe2yc_FrjL8Isxuh7wSyTyuUL7_qMagB3JiPGDYJg.UbltKH7bdYudZCd1n88dcGDKHT9LXX-RlmPSyxY_DNo&dib_tag=se&keywords=wireless+earphones&qid=1780676563&sr=8-5,1,wireless earphones,2026-06-05 21:52:46
B0GN73QQFF,"Portronics Harmonics Z12 in Ear Bluetooth Neckband with Metallic Built & Hall Switch(ON/OFF),Upto 35 Hours Playtime, Gaming/Music Mode, Low Latency, Bluetooth Version 5.3V, Type C Fast Charging(Black)",₹799.00,4.3,(32),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjQzMjQ3ODQzMTY5OTM5OjE3ODA2NzY1NjM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDk5Nzg4Mjc0NjEzMjo6MDo6&url=%2FPortronics-Harmonics-Bluetooth-Neckband-Metallic%2Fdp%2FB0GN73QQFF%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26cv_ct_cx%3Dwireless%2Bearphones%26keywords%3Dwireless%2Bearphones%26pd_rd_i%3DB0GN73QQFF%26pd_rd_r%3D70043123-9363-493a-9865-8e7c91afe22c%26pd_rd_w%3DbHg0w%26pd_rd_wg%3DeXsXF%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DFN5P4ZKXE6B443AV4ZM7%26qid%3D1780676563%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3D0rYVwKorX3%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=0rYVwKorX3&sp_cr=ZAZ,1,wireless earphones,2026-06-05 21:52:46
B0DN1RPL19,"GOBOULT Mustang Torq Wireless in Ear Earbuds with 60H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, 13mm Driver, Breathing LEDs, Made in India Ear Buds Wireless (Silver)",₹1799.00,4.0,(13.6K),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjQzMjQ3ODQzMTY5OTM5OjE3ODA2NzY1NjM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ4MzMyNzA2ODAzMjo6MTo6&url=%2FLaunched-Earbuds-Playtime-Breathing-Wireless%2Fdp%2FB0DN1RPL19%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26cv_ct_cx%3Dwireless%2Bearphones%26keywords%3Dwireless%2Bearphones%26pd_rd_i%3DB0DN1RPL19%26pd_rd_r%3D70043123-9363-493a-9865-8e7c91afe22c%26pd_rd_w%3DbHg0w%26pd_rd_wg%3DeXsXF%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DFN5P4ZKXE6B443AV4ZM7%26qid%3D1780676563%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DI0c7MHAFWO%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=I0c7MHAFWO&sp_cr=ZAZ,1,wireless earphones,2026-06-05 21:52:46
B0GNXCGZSF,"Portronics Twins one in Ear Earbuds with Deep Bass, Upto 30 Hours Playtime,13mm Dynamic Driver, Game/Music Mode, Bluetooth V6.0, Voice Assistant, Type C Fast Charging Buds, Lightweight Design(White)",₹849.00,4.2,(7),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjQzMjQ3ODQzMTY5OTM5OjE3ODA2NzY1NjM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMTExODkzMzkyNzAzMjo6Mjo6&url=%2FPortronics-Playtime-Bluetooth-Assistant-Lightweight%2Fdp%2FB0GNXCGZSF%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26cv_ct_cx%3Dwireless%2Bearphones%26keywords%3Dwireless%2Bearphones%26pd_rd_i%3DB0GNXCGZSF%26pd_rd_r%3D70043123-9363-493a-9865-8e7c91afe22c%26pd_rd_w%3DbHg0w%26pd_rd_wg%3DeXsXF%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DFN5P4ZKXE6B443AV4ZM7%26qid%3D1780676563%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DB3Q5m5Z9fU%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=B3Q5m5Z9fU&sp_cr=ZAZ,1,wireless earphones,2026-06-05 21:52:46
B0D78XSMSM,"pTron Bassbuds Astra in-Ear TWS Earbuds w/Stereo Sound, 34Hrs Playtime, Stereo Calls, Custom EQ, Mobile App, BTv5.3 Headphones, Touch Control, Voice Assistant, Type C Charging & IPX4 (Black)",₹597.00,4.0,(2.3K),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjQzMjQ3ODQzMTY5OTM5OjE3ODA2NzY1NjM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDY0MzAxMDUxMzAzMjo6Mzo6&url=%2FpTron-Bassbuds-Bluetooth-Headphones-Assistant%2Fdp%2FB0D78XSMSM%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26cv_ct_cx%3Dwireless%2Bearphones%26keywords%3Dwireless%2Bearphones%26pd_rd_i%3DB0D78XSMSM%26pd_rd_r%3D70043123-9363-493a-9865-8e7c91afe22c%26pd_rd_w%3DbHg0w%26pd_rd_wg%3DeXsXF%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DFN5P4ZKXE6B443AV4ZM7%26qid%3D1780676563%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DwJtyVQhBJ4%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=wJtyVQhBJ4&sp_cr=ZAZ,1,wireless earphones,2026-06-05 21:52:46
B0G2GGLTMF,Mivi DuoPods Sync in Ear Earbuds | 60H Playtime Bluetooth Earphones Wireless | Earbuds ENC for Clear Calls | 13mm Drivers Ear Buds Wireless | Gaming Mode | BT 5.3 TWS ENC Earbuds Style | Earpods,₹899.00,4.2,(779),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3MjQzMjQ3ODQzMTY5OTM5OjE3ODA2NzY1NjM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDg3NjY5NjcyMTczMjo6NDo6&url=%2FMivi-Playtime-Bluetooth-Earphones-Wireless%2Fdp%2FB0G2GGLTMF%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%253Aamzn1.sym.7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26cv_ct_cx%3Dwireless%2Bearphones%26keywords%3Dwireless%2Bearphones%26pd_rd_i%3DB0G2GGLTMF%26pd_rd_r%3D70043123-9363-493a-9865-8e7c91afe22c%26pd_rd_w%3DbHg0w%26pd_rd_wg%3DeXsXF%26pf_rd_p%3D7e2c8ac4-9f12-4bcd-9497-a8ae54bc8764%26pf_rd_r%3DFN5P4ZKXE6B443AV4ZM7%26qid%3D1780676563%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DoewpQ7qVXo%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=oewpQ7qVXo&sp_cr=ZAZ,1,wireless earphones,2026-06-05 21:52:46
